id,name,city,cuisine_style
1,Suarna,Barcelona,Mediterranean
2,The Wee Box Cafe,Edinburgh,Cafe
3,Le Safran,Paris,French
4,Crackers,Berlin,European
5,Pear Tree Cafe,London,Cafe
6,McDonald's,London,Fast Food
7,Paneria,Prague,Fast Food
8,Ristorante Arco di S. Calisto,Rome,Italian
9,Hamburgaria a Gina,Lisbon,American
10,Mibi's International Cuisine,Prague,Japanese
11,Hyttefadet,Copenhagen,Bar
12,Mallagueta,Lisbon,European
13,La Creperie Bretonne,Paris,French
14,Le Primerose,Paris,French
15,Cucina Casereccia da Marcello,Rome,Italian
16,Veranda,Geneva,French
17,Restaurant U Krale Karla,Prague,Mediterranean
18,Bangkok-Vienna,Vienna,Asian
19,Hunger Hut,London,Pizza
20,Il Rifugio,Brussels,Italian
21,La Verde Umbria,Barcelona,Italian
22,Bjolsen Sushi,Oslo,Japanese
23,Sushi Xxl,Hamburg,Asian
24,Fragments cafe,Barcelona,Mediterranean
25,Polpetta D.O.C.,Milan,Italian
26,Divina Pasta,Barcelona,Italian
27,Com Cuore,Oporto,Gluten Free Options
28,Meno Male Kungsholmen,Stockholm,Italian
29,Restaurang Lucky Garden,Stockholm,Chinese
30,Corey's Soul Chicken,Milan,American
31,Ristorante Fezzi,Hamburg,Italian
32,Cafe Sattva,Stockholm,Delicatessen
33,Le Barbylone,Paris,French
34,Solidni jistota,Prague,European
35,Mooty,Paris,French
36,Kappacasein,London,Fast Food
37,Cafe del Monaguillo,Madrid,Spanish
38,La Cuccagna,Milan,Italian
39,Kalus Restaurant,Berlin,International
40,Estrela de Ouro,Lisbon,European
41,La Vespa Bar and Trattoria,Berlin,Italian
42,Solito Posto,Brussels,Italian
43,The Parlour,London,Cafe
44,Caseiro,Lisbon,Mediterranean
45,Pizzeria Naturale,Milan,Italian
46,Nisida,Milan,Italian
47,Oka Restaurant,London,Japanese
48,The Restaurant at St Paul's,London,British
49,Taberna Entre Castillas,Madrid,Seafood
50,Il Tavolo Verde,Madrid,Mediterranean
51,Art Cafe Dublin,Dublin,Irish
52,La Terrazza Dei Papi,Rome,Italian
53,Mangetsu Sushi,London,Chinese
54,Piwnica Pod Zlota Pipa,Krakow,Polish
55,Szechuan Restaurant,Prague,Chinese
56,Fruehsammers Restaurant,Berlin,Fusion
57,Juan el paso tex mex,London,Mexican
58,McDonald's,Paris,American
59,Casa di David,Amsterdam,Italian
60,foster's hollywood,Barcelona,American
61,Birdie Num Nums,London,Cafe
62,Domino’s Pizza,Madrid,Italian
63,Los 60 Gastro Bar,Madrid,Spanish
